,sepalLength,sepalWidth,petalLength,petalWidth,species,prediction
2,5.1,3.5,1.4,0.2,Iris-setosa,Iris-setosa
3,4.9,3.0,1.4,0.2,Iris-setosa,Iris-setosa
4,4.7,3.2,1.3,0.2,Iris-setosa,Iris-setosa
5,4.6,3.1,1.5,0.2,Iris-setosa,Iris-setosa
6,5.0,3.6,1.4,0.2,Iris-setosa,Iris-setosa
7,5.4,3.9,1.7,0.4,Iris-setosa,Iris-setosa
8,4.6,3.4,1.4,0.3,Iris-setosa,Iris-setosa
9,5.0,3.4,1.5,0.2,Iris-setosa,Iris-setosa
10,4.4,2.9,1.4,0.2,Iris-setosa,Iris-setosa
11,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
12,5.4,3.7,1.5,0.2,Iris-setosa,Iris-setosa
13,4.8,3.4,1.6,0.2,Iris-setosa,Iris-setosa
14,4.8,3.0,1.4,0.1,Iris-setosa,Iris-setosa
15,4.3,3.0,1.1,0.1,Iris-setosa,Iris-setosa
16,5.8,4.0,1.2,0.2,Iris-setosa,Iris-setosa
17,5.7,4.4,1.5,0.4,Iris-setosa,Iris-setosa
18,5.4,3.9,1.3,0.4,Iris-setosa,Iris-setosa
19,5.1,3.5,1.4,0.3,Iris-setosa,Iris-setosa
20,5.7,3.8,1.7,0.3,Iris-setosa,Iris-setosa
21,5.1,3.8,1.5,0.3,Iris-setosa,Iris-setosa
22,5.4,3.4,1.7,0.2,Iris-setosa,Iris-setosa
23,5.1,3.7,1.5,0.4,Iris-setosa,Iris-setosa
24,4.6,3.6,1.0,0.2,Iris-setosa,Iris-setosa
25,5.1,3.3,1.7,0.5,Iris-setosa,Iris-versicolor
26,4.8,3.4,1.9,0.2,Iris-setosa,Iris-setosa
27,5.0,3.0,1.6,0.2,Iris-setosa,Iris-setosa
28,5.0,3.4,1.6,0.4,Iris-setosa,Iris-setosa
29,5.2,3.5,1.5,0.2,Iris-setosa,Iris-setosa
30,5.2,3.4,1.4,0.2,Iris-setosa,Iris-setosa
31,4.7,3.2,1.6,0.2,Iris-setosa,Iris-setosa
32,4.8,3.1,1.6,0.2,Iris-setosa,Iris-setosa
33,5.4,3.4,1.5,0.4,Iris-setosa,Iris-setosa
34,5.2,4.1,1.5,0.1,Iris-setosa,Iris-setosa
35,5.5,4.2,1.4,0.2,Iris-setosa,Iris-setosa
36,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
37,5.0,3.2,1.2,0.2,Iris-setosa,Iris-setosa
38,5.5,3.5,1.3,0.2,Iris-setosa,Iris-setosa
39,4.9,3.1,1.5,0.1,Iris-setosa,Iris-setosa
40,4.4,3.0,1.3,0.2,Iris-setosa,Iris-setosa
41,5.1,3.4,1.5,0.2,Iris-setosa,Iris-setosa
42,5.0,3.5,1.3,0.3,Iris-setosa,Iris-setosa
43,4.5,2.3,1.3,0.3,Iris-setosa,Iris-setosa
44,4.4,3.2,1.3,0.2,Iris-setosa,Iris-setosa
45,5.0,3.5,1.6,0.6,Iris-setosa,Iris-setosa
46,5.1,3.8,1.9,0.4,Iris-setosa,Iris-versicolor
47,4.8,3.0,1.4,0.3,Iris-setosa,Iris-setosa
48,5.1,3.8,1.6,0.2,Iris-setosa,Iris-setosa
49,4.6,3.2,1.4,0.2,Iris-setosa,Iris-setosa
50,5.3,3.7,1.5,0.2,Iris-setosa,Iris-setosa
51,5.0,3.3,1.4,0.2,Iris-setosa,Iris-setosa
52,7.0,3.2,4.7,1.4,Iris-versicolor,Iris-virginica
53,6.4,3.2,4.5,1.5,Iris-versicolor,Iris-versicolor
54,6.9,3.1,4.9,1.5,Iris-versicolor,Iris-virginica
55,5.5,2.3,4.0,1.3,Iris-versicolor,Iris-versicolor
56,6.5,2.8,4.6,1.5,Iris-versicolor,Iris-versicolor
57,5.7,2.8,4.5,1.3,Iris-versicolor,Iris-versicolor
58,6.3,3.3,4.7,1.6,Iris-versicolor,Iris-virginica
59,4.9,2.4,3.3,1.0,Iris-versicolor,Iris-versicolor
60,6.6,2.9,4.6,1.3,Iris-versicolor,Iris-versicolor
61,5.2,2.7,3.9,1.4,Iris-versicolor,Iris-versicolor
62,5.0,2.0,3.5,1.0,Iris-versicolor,Iris-versicolor
63,5.9,3.0,4.2,1.5,Iris-versicolor,Iris-versicolor
64,6.0,2.2,4.0,1.0,Iris-versicolor,Iris-versicolor
65,6.1,2.9,4.7,1.4,Iris-versicolor,Iris-versicolor
66,5.6,2.9,3.6,1.3,Iris-versicolor,Iris-versicolor
67,6.7,3.1,4.4,1.4,Iris-versicolor,Iris-versicolor
68,5.6,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
69,5.8,2.7,4.1,1.0,Iris-versicolor,Iris-versicolor
70,6.2,2.2,4.5,1.5,Iris-versicolor,Iris-versicolor
71,5.6,2.5,3.9,1.1,Iris-versicolor,Iris-versicolor
72,5.9,3.2,4.8,1.8,Iris-versicolor,Iris-virginica
73,6.1,2.8,4.0,1.3,Iris-versicolor,Iris-versicolor
74,6.3,2.5,4.9,1.5,Iris-versicolor,Iris-virginica
75,6.1,2.8,4.7,1.2,Iris-versicolor,Iris-versicolor
76,6.4,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
77,6.6,3.0,4.4,1.4,Iris-versicolor,Iris-versicolor
78,6.8,2.8,4.8,1.4,Iris-versicolor,Iris-versicolor
79,6.7,3.0,5.0,1.7,Iris-versicolor,Iris-virginica
80,6.0,2.9,4.5,1.5,Iris-versicolor,Iris-versicolor
81,5.7,2.6,3.5,1.0,Iris-versicolor,Iris-versicolor
82,5.5,2.4,3.8,1.1,Iris-versicolor,Iris-versicolor
83,5.5,2.4,3.7,1.0,Iris-versicolor,Iris-versicolor
84,5.8,2.7,3.9,1.2,Iris-versicolor,Iris-versicolor
85,6.0,2.7,5.1,1.6,Iris-versicolor,Iris-virginica
86,5.4,3.0,4.5,1.5,Iris-versicolor,Iris-versicolor
87,6.0,3.4,4.5,1.6,Iris-versicolor,Iris-virginica
88,6.7,3.1,4.7,1.5,Iris-versicolor,Iris-versicolor
89,6.3,2.3,4.4,1.3,Iris-versicolor,Iris-versicolor
90,5.6,3.0,4.1,1.3,Iris-versicolor,Iris-versicolor
91,5.5,2.5,4.0,1.3,Iris-versicolor,Iris-versicolor
92,5.5,2.6,4.4,1.2,Iris-versicolor,Iris-versicolor
93,6.1,3.0,4.6,1.4,Iris-versicolor,Iris-versicolor
94,5.8,2.6,4.0,1.2,Iris-versicolor,Iris-versicolor
95,5.0,2.3,3.3,1.0,Iris-versicolor,Iris-versicolor
96,5.6,2.7,4.2,1.3,Iris-versicolor,Iris-versicolor
97,5.7,3.0,4.2,1.2,Iris-versicolor,Iris-versicolor
98,5.7,2.9,4.2,1.3,Iris-versicolor,Iris-versicolor
99,6.2,2.9,4.3,1.3,Iris-versicolor,Iris-versicolor
100,5.1,2.5,3.0,1.1,Iris-versicolor,Iris-versicolor
101,5.7,2.8,4.1,1.3,Iris-versicolor,Iris-versicolor
102,6.3,3.3,6.0,2.5,Iris-virginica,Iris-virginica
103,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
104,7.1,3.0,5.9,2.1,Iris-virginica,Iris-virginica
105,6.3,2.9,5.6,1.8,Iris-virginica,Iris-virginica
106,6.5,3.0,5.8,2.2,Iris-virginica,Iris-virginica
107,7.6,3.0,6.6,2.1,Iris-virginica,Iris-virginica
108,4.9,2.5,4.5,1.7,Iris-virginica,Iris-versicolor
109,7.3,2.9,6.3,1.8,Iris-virginica,Iris-virginica
110,6.7,2.5,5.8,1.8,Iris-virginica,Iris-virginica
111,7.2,3.6,6.1,2.5,Iris-virginica,Iris-virginica
112,6.5,3.2,5.1,2.0,Iris-virginica,Iris-virginica
113,6.4,2.7,5.3,1.9,Iris-virginica,Iris-virginica
114,6.8,3.0,5.5,2.1,Iris-virginica,Iris-virginica
115,5.7,2.5,5.0,2.0,Iris-virginica,Iris-virginica
116,5.8,2.8,5.1,2.4,Iris-virginica,Iris-virginica
117,6.4,3.2,5.3,2.3,Iris-virginica,Iris-virginica
118,6.5,3.0,5.5,1.8,Iris-virginica,Iris-virginica
119,7.7,3.8,6.7,2.2,Iris-virginica,Iris-virginica
120,7.7,2.6,6.9,2.3,Iris-virginica,Iris-virginica
121,6.0,2.2,5.0,1.5,Iris-virginica,Iris-versicolor
122,6.9,3.2,5.7,2.3,Iris-virginica,Iris-virginica
123,5.6,2.8,4.9,2.0,Iris-virginica,Iris-virginica
124,7.7,2.8,6.7,2.0,Iris-virginica,Iris-virginica
125,6.3,2.7,4.9,1.8,Iris-virginica,Iris-virginica
126,6.7,3.3,5.7,2.1,Iris-virginica,Iris-virginica
127,7.2,3.2,6.0,1.8,Iris-virginica,Iris-virginica
128,6.2,2.8,4.8,1.8,Iris-virginica,Iris-virginica
129,6.1,3.0,4.9,1.8,Iris-virginica,Iris-virginica
130,6.4,2.8,5.6,2.1,Iris-virginica,Iris-virginica
131,7.2,3.0,5.8,1.6,Iris-virginica,Iris-virginica
132,7.4,2.8,6.1,1.9,Iris-virginica,Iris-virginica
133,7.9,3.8,6.4,2.0,Iris-virginica,Iris-virginica
134,6.4,2.8,5.6,2.2,Iris-virginica,Iris-virginica
135,6.3,2.8,5.1,1.5,Iris-virginica,Iris-versicolor
136,6.1,2.6,5.6,1.4,Iris-virginica,Iris-versicolor
137,7.7,3.0,6.1,2.3,Iris-virginica,Iris-virginica
138,6.3,3.4,5.6,2.4,Iris-virginica,Iris-virginica
139,6.4,3.1,5.5,1.8,Iris-virginica,Iris-virginica
140,6.0,3.0,4.8,1.8,Iris-virginica,Iris-virginica
141,6.9,3.1,5.4,2.1,Iris-virginica,Iris-virginica
142,6.7,3.1,5.6,2.4,Iris-virginica,Iris-virginica
143,6.9,3.1,5.1,2.3,Iris-virginica,Iris-virginica
144,5.8,2.7,5.1,1.9,Iris-virginica,Iris-virginica
145,6.8,3.2,5.9,2.3,Iris-virginica,Iris-virginica
146,6.7,3.3,5.7,2.5,Iris-virginica,Iris-virginica
147,6.7,3.0,5.2,2.3,Iris-virginica,Iris-virginica
148,6.3,2.5,5.0,1.9,Iris-virginica,Iris-virginica
149,6.5,3.0,5.2,2.0,Iris-virginica,Iris-virginica
150,6.2,3.4,5.4,2.3,Iris-virginica,Iris-virginica
151,5.9,3.0,5.1,1.8,Iris-virginica,Iris-virginica
